iter	RMSE
0	3.171115414
1	3.122402415
2	3.07447599
3	3.023328005
4	2.980601375
5	2.93586113
6	2.891290512
7	2.848566097
8	2.800869505
9	2.763169498
10	2.729410926
11	2.689409961
12	2.654746709
13	2.616067253
14	2.576287818
15	2.53698438
16	2.504721843
17	2.469958482
18	2.439905909
19	2.405190064
20	2.378084513
21	2.34474255
22	2.322334898
23	2.296660464
24	2.272444124
25	2.250104064
26	2.222965995
27	2.195834782
28	2.175444435
29	2.148888387
30	2.124599015
31	2.103552573
32	2.080004753
33	2.057933466
34	2.036247134
35	2.017669012
36	1.994825056
37	1.975696544
38	1.956780811
39	1.937542616
40	1.920289819
41	1.903828926
42	1.886249774
43	1.868980063
44	1.853536197
45	1.837091687
46	1.818212469
47	1.802136523
48	1.787133396
49	1.772443367
50	1.75606726
51	1.741073566
52	1.730382589
53	1.717321906
54	1.703635482
55	1.691168912
56	1.678340097
57	1.666942789
58	1.653146957
59	1.641920319
60	1.6318744
61	1.623052476
62	1.609958965
63	1.601116676
64	1.588356846
65	1.580295858
66	1.569460159
67	1.558759365
68	1.549252459
69	1.538962876
70	1.529669477
71	1.524810588
72	1.515687115
73	1.505600228
74	1.497572918
75	1.490751588
76	1.482286547
77	1.472974263
78	1.464504557
79	1.455455517
80	1.447950227
81	1.442254845
82	1.434680226
83	1.428691502
84	1.422946618
85	1.418685748
86	1.413160141
87	1.408522871
88	1.403547911
89	1.39898646
90	1.392481759
91	1.38542016
92	1.37853783
93	1.373094972
94	1.367593994
95	1.363454939
96	1.356974868
97	1.352589274
98	1.345562179
99	1.340331503
100	1.337216137
101	1.331702423
102	1.326989773
103	1.323504107
104	1.318096018
105	1.315008688
106	1.309695687
107	1.306147067
108	1.301087722
109	1.295391008
110	1.289600375
111	1.285113416
112	1.279813424
113	1.275097349
114	1.272226603
115	1.268536272
116	1.265670639
117	1.261734317
118	1.258683857
119	1.255809844
120	1.252758635
121	1.247682656
122	1.244682169
123	1.240532333
124	1.236853272
125	1.235858031
126	1.232077603
127	1.229838953
128	1.226328874
129	1.222265227
130	1.220184395
131	1.216731562
132	1.214373555
133	1.209653247
134	1.206327067
135	1.203073895
136	1.198737627
137	1.195983935
138	1.194268647
139	1.190850296
140	1.188678221
141	1.185925004
142	1.182644312
143	1.179631887
144	1.178190967
145	1.176914901
146	1.174887327
147	1.172447607
148	1.169870845
149	1.167847983
150	1.165197374
151	1.161948421
152	1.159896727
153	1.155454367
154	1.153000821
155	1.151041178
156	1.148084873
157	1.146434157
158	1.142631348
159	1.141127981
160	1.138249239
161	1.137387066
162	1.134495784
163	1.132563385
164	1.131086391
165	1.12796247
166	1.126301897
167	1.123593945
168	1.121095645
169	1.118028075
170	1.115542224
171	1.112876668
172	1.109290247
173	1.107870392
174	1.105951419
175	1.104460205
176	1.102191362
177	1.099904517
178	1.097993532
179	1.095838002
180	1.093350815
181	1.090609331
182	1.088912614
183	1.087710549
184	1.08508858
185	1.08294401
186	1.080539449
187	1.078591505
188	1.07632458
189	1.074339973
190	1.071946289
191	1.070005567
192	1.06829551
193	1.066971401
194	1.065232341
195	1.063752036
196	1.061127216
197	1.059019227
198	1.056816023
199	1.055216992
200	1.0540447
201	1.052289963
202	1.050804372
203	1.049507419
204	1.047479259
205	1.046417557
206	1.043529289
207	1.041721527
208	1.040618972
209	1.039504699
210	1.038560777
211	1.037184561
212	1.035698696
213	1.033549978
214	1.03181072
215	1.030458306
216	1.028464095
217	1.027784499
218	1.025128537
219	1.024020764
220	1.023037968
221	1.021573059
222	1.020640349
223	1.019910482
224	1.01839924
225	1.016994087
226	1.015596117
227	1.013907544
228	1.012556987
229	1.011725656
230	1.010420403
231	1.008328017
232	1.00648649
233	1.004909641
234	1.004050424
235	1.00209696
236	1.000507488
237	0.9994154562
238	0.9970193119
239	0.9958233747
240	0.9951431793
241	0.9941879094
242	0.9930393125
243	0.9911234364
244	0.989548961
245	0.9884737209
246	0.9859410203
247	0.9851259529
248	0.9846121263
249	0.9827379923
250	0.9806409138
251	0.9796851493
252	0.9786798135
253	0.9781490275
254	0.9756705343
255	0.9738159994
256	0.9726305491
257	0.9708584229
258	0.9699845367
259	0.9689736519
260	0.9672507165
261	0.9658594002
262	0.9640012577
263	0.9633100869
264	0.9614363546
265	0.9592515576
266	0.95879193
267	0.9568335792
268	0.9561348172
269	0.9557132528
270	0.9551992315
271	0.9547343134
272	0.9542184721
273	0.9531933242
274	0.9522781394
275	0.9516394403
276	0.9506972902
277	0.949815939
278	0.9473705988
279	0.946678717
280	0.9452644204
281	0.9435495019
282	0.9428181831
283	0.9400624844
284	0.9394367472
285	0.9368750046
286	0.9360132536
287	0.9350059531
288	0.9343665144
289	0.9340357639
290	0.9331540113
291	0.9318262056
292	0.9310134352
293	0.9298324981
294	0.9283243549
295	0.9271764003
296	0.9265195072
297	0.9254346757
298	0.9249879028
299	0.9233483272
300	0.9229154174
301	0.9224870884
302	0.9215895782
303	0.9199908715
304	0.919585856
305	0.9187508451
306	0.9180099253
307	0.91747753
308	0.9163524841
309	0.9159309544
310	0.915190166
311	0.9144779937
312	0.9137254778
313	0.9132816826
314	0.9118266468
315	0.9087221615
316	0.9071968913
317	0.905964973
318	0.9052392749
319	0.9048560119
320	0.9035952546
321	0.9029317964
322	0.9026222094
323	0.9020436134
324	0.9002460143
325	0.8998995066
326	0.8989620193
327	0.8984665749
328	0.8977834962
329	0.8971949431
330	0.8969472072
331	0.8961305126
332	0.8948106345
333	0.8942171536
334	0.8927806123
335	0.8925425333
336	0.8913178624
337	0.8905440569
338	0.8901070552
339	0.8890816818
340	0.8884329083
341	0.8878606194
342	0.8871879124
343	0.8859633637
344	0.8853459884
345	0.8834623912
346	0.883225483
347	0.8826506384
348	0.8820522412
349	0.8817574502
350	0.8792049198
351	0.8777639923
352	0.8775388811
353	0.876922417
354	0.875803543
355	0.875347833
356	0.8738676122
357	0.8732534147
358	0.871788485
359	0.8714355734
360	0.8709956486
361	0.8703233113
362	0.8693233137
363	0.8680004031
364	0.8677197505
365	0.8671774535
366	0.8661965413
367	0.8655909617
368	0.8650593165
369	0.86397306
370	0.8624115456
371	0.8607344993
372	0.8600540398
373	0.8576940249
374	0.8570977481
375	0.8566035806
376	0.8547068116
377	0.8526873572
378	0.8502781044
379	0.8485611864
380	0.8480737757
381	0.8473985429
382	0.8471039113
383	0.8468391154
384	0.8463881406
385	0.8454964962
386	0.8445242959
387	0.8442427416
388	0.8440093065
389	0.8420979621
390	0.8405652233
391	0.8397225201
392	0.8386717687
393	0.837351833
394	0.8356922672
395	0.8351775417
396	0.83412013
397	0.8331922076
398	0.8322092652
399	0.831270036
400	0.8308820081
401	0.8304237721
402	0.8301655032
403	0.8285794797
404	0.8271204814
405	0.8261488871
406	0.8258231656
407	0.8254636365
408	0.8242668313
409	0.8226228362
410	0.8217708541
411	0.8214991528
412	0.8203334825
413	0.8192196736
414	0.8178802467
415	0.8167262967
416	0.8162390106
417	0.8151097484
418	0.8135622476
419	0.8121874444
420	0.8119123709
421	0.8115142779
422	0.8112905258
423	0.8104726381
424	0.8084274826
425	0.8074990683
426	0.8067782917
427	0.8060502852
428	0.8049039882
429	0.804724402
430	0.804514092
431	0.804107819
432	0.8030165141
433	0.8017138444
434	0.8006769382
435	0.8000702212
436	0.7999124589
437	0.7996664461
438	0.7983601009
439	0.7972190201
440	0.7969709728
441	0.7958462018
442	0.7947377058
443	0.7940548739
444	0.7928504023
445	0.7925225108
446	0.7909894515
447	0.7899838836
448	0.789785381
449	0.7886877052
450	0.7873905843
451	0.7865143435
452	0.7863363684
453	0.7849160355
454	0.7838285398
455	0.7824160319
456	0.7815503376
457	0.7804751771
458	0.7794155639
459	0.7783712876
460	0.7773421403
461	0.7763279168
462	0.7751442258
463	0.7738433935
464	0.7728404045
465	0.7719102915
466	0.7706824575
467	0.7694631043
468	0.7683135334
469	0.7672270935
470	0.7669369453
471	0.7659557779
472	0.765313369
473	0.7649618381
474	0.7640444952
475	0.7631634047
476	0.7628864866
477	0.7618814447
478	0.7609176536
479	0.7606984004
480	0.7597476233
481	0.7587049806
482	0.7576679325
483	0.7567041844
484	0.756285225
485	0.7554594413
486	0.7548151384
487	0.7539187145
488	0.753779023
489	0.7522350874
490	0.7513153188
491	0.7502054225
492	0.7497204046
493	0.748812543
494	0.7472013753
495	0.7464400877
496	0.7461694676
497	0.7452692214
498	0.7440640253
499	0.7431422441
500	0.7426496718
501	0.7417731277
502	0.741630986
