iter	Passed	Remaining
0	1	1313
1	2	1159
2	3	1093
3	4	1055
4	5	1029
5	5	969
6	6	964
7	7	959
8	8	961
9	9	964
10	10	966
11	11	967
12	12	970
13	13	971
14	14	971
15	15	971
16	16	968
17	17	967
18	18	966
19	19	964
20	20	964
21	21	963
22	22	961
23	23	948
24	24	947
25	25	949
26	26	947
27	27	947
28	28	947
29	29	946
30	30	946
31	31	946
32	32	946
33	33	946
34	34	945
35	35	943
36	36	944
37	37	943
38	38	942
39	39	941
40	40	940
41	42	967
42	43	968
43	44	969
44	45	972
45	46	970
46	47	968
47	48	966
48	49	964
49	50	962
50	51	960
51	52	958
52	53	956
53	54	954
54	55	952
55	56	951
56	57	949
57	58	947
58	59	946
59	60	944
60	61	943
61	62	941
62	63	940
63	64	938
64	65	936
65	66	935
66	67	933
67	68	932
68	69	932
69	70	930
70	71	929
71	71	927
72	72	926
73	73	924
74	74	923
75	75	922
76	76	920
77	77	919
78	78	917
79	79	916
80	80	915
81	81	914
82	82	913
83	83	912
84	84	911
85	85	910
86	86	908
87	87	907
88	88	905
89	89	904
90	90	902
91	91	901
92	92	900
93	93	898
94	94	897
95	94	893
96	95	892
97	96	891
98	97	890
99	98	889
100	99	888
101	100	887
102	101	886
103	102	884
104	103	883
105	104	882
106	105	880
107	106	879
108	107	878
109	108	877
110	109	875
111	110	874
112	111	873
113	112	873
114	113	871
115	114	870
116	115	869
117	116	867
118	117	867
119	118	865
120	118	864
121	119	863
122	120	861
123	121	860
124	122	859
125	123	855
126	124	854
127	125	853
128	126	852
129	127	851
130	128	850
131	129	849
132	130	848
133	131	847
134	132	846
135	133	844
136	133	843
137	134	842
138	135	841
139	136	840
140	137	839
141	138	839
142	139	838
143	140	837
144	141	836
145	142	833
146	143	832
147	144	831
148	145	829
149	146	829
150	147	827
151	148	826
152	149	825
153	150	824
154	151	823
155	151	822
156	153	821
157	153	820
158	154	819
159	155	818
160	156	817
161	157	816
162	158	815
163	159	814
164	160	813
165	161	812
166	162	811
167	163	810
168	164	809
169	165	808
170	166	807
171	167	806
172	168	805
173	169	804
174	170	803
175	171	802
176	172	801
177	173	800
178	174	799
179	175	798
180	176	797
181	177	796
182	178	794
183	178	792
184	179	791
185	180	790
186	181	789
187	182	789
188	183	788
189	184	787
190	185	785
191	186	784
192	187	783
193	188	783
194	189	782
195	190	781
196	191	780
197	192	778
198	193	777
199	194	776
200	195	776
201	196	775
202	197	774
203	197	772
204	198	771
205	199	770
206	200	769
207	201	768
208	202	767
209	203	766
210	204	765
211	205	764
212	206	763
213	207	762
214	208	761
215	209	760
216	210	759
217	211	758
218	212	757
219	212	754
220	213	753
221	214	752
222	215	751
223	216	750
224	217	749
225	218	748
226	219	747
227	220	746
228	221	745
229	221	742
230	223	743
231	224	743
232	225	743
233	226	742
234	227	742
235	228	741
236	229	740
237	230	739
238	231	738
239	232	737
240	233	736
241	234	735
242	235	734
243	236	733
244	237	732
245	238	731
246	239	730
247	240	729
248	241	728
249	242	727
250	243	726
251	244	725
252	245	723
253	246	723
254	247	722
255	248	721
256	249	720
257	250	719
258	251	718
259	252	717
260	253	716
261	253	715
262	254	714
263	255	713
264	256	712
265	257	711
266	258	710
267	259	709
268	260	708
269	261	707
270	262	706
271	263	705
272	264	703
273	265	702
274	266	701
275	267	700
276	268	699
277	269	698
278	270	697
279	271	696
280	272	695
281	272	694
282	273	693
283	274	692
284	275	691
285	276	690
286	277	689
287	278	688
288	279	687
289	280	686
290	281	685
291	282	684
292	283	683
293	284	682
294	285	681
295	286	680
296	287	679
297	288	678
298	289	677
299	290	676
300	291	675
301	291	674
302	292	673
303	294	673
304	295	672
305	295	671
306	296	670
307	297	669
308	298	668
309	299	667
310	300	666
311	301	665
312	302	664
313	303	663
314	304	662
315	305	661
316	306	660
317	307	659
318	308	658
319	309	657
320	310	656
321	311	655
322	312	654
323	313	653
324	314	652
325	315	651
326	316	651
327	318	651
328	319	650
329	320	649
330	321	648
331	322	648
332	323	647
333	324	646
334	325	646
335	327	647
336	329	647
337	330	647
338	332	647
339	333	647
340	336	650
341	340	654
342	341	654
343	343	655
344	344	654
345	349	660
346	351	662
347	355	666
348	356	665
349	357	664
350	358	663
351	359	662
352	360	661
353	361	660
354	364	663
355	367	663
356	368	663
357	369	662
358	370	661
359	371	660
360	372	658
361	373	657
362	374	656
363	375	655
364	375	653
365	376	652
366	379	655
367	381	655
368	382	654
369	384	653
370	385	652
371	385	651
372	386	650
373	387	649
374	388	648
375	389	647
376	390	645
377	391	644
378	395	648
379	396	647
380	397	646
381	399	645
382	400	645
383	401	644
384	402	643
385	404	642
386	405	641
387	406	640
388	410	644
389	411	643
390	412	642
391	413	641
392	414	640
393	415	639
394	416	638
395	417	636
396	418	635
397	419	634
398	420	633
399	421	632
400	424	634
401	426	633
402	427	632
403	428	631
404	429	630
405	430	629
406	431	628
407	432	627
408	433	625
409	434	624
410	435	623
411	439	626
412	440	625
413	441	624
414	442	623
415	443	622
416	444	621
417	445	619
418	446	618
419	447	617
420	448	616
421	449	615
422	449	613
423	453	615
424	454	614
425	455	613
426	456	612
427	457	611
428	458	610
429	459	608
430	460	607
431	460	605
432	461	604
433	462	603
434	463	602
435	466	603
436	469	604
437	470	603
438	471	602
439	472	601
440	474	601
441	475	600
442	476	599
443	478	598
444	480	599
445	482	599
446	484	598
447	485	597
448	486	596
449	487	595
450	488	594
451	489	593
452	490	592
453	491	591
454	492	590
455	497	593
456	499	593
457	500	592
458	501	590
459	502	589
460	503	588
461	504	587
462	505	585
463	506	584
464	507	583
465	508	582
466	513	585
467	514	584
468	515	583
469	516	582
470	517	581
471	518	579
472	519	578
473	520	577
474	521	576
475	522	574
476	524	574
477	526	574
478	527	573
479	528	572
480	529	571
481	530	570
482	531	569
483	532	567
484	533	566
485	534	565
486	535	564
487	536	562
488	540	565
489	542	564
490	543	563
491	544	562
492	545	560
493	546	559
494	547	558
495	548	557
496	549	555
497	550	554
498	551	553
499	552	552
500	555	553
501	556	551
502	557	550
503	558	549
504	559	548
505	560	546
506	561	545
507	562	544
508	563	543
509	564	541
510	565	540
511	565	539
512	567	538
513	569	538
514	570	537
515	571	536
516	572	534
517	573	533
518	574	532
519	575	531
520	576	530
521	577	528
522	578	527
523	579	526
524	580	524
525	581	524
526	583	523
527	584	522
528	585	521
529	586	520
530	587	519
531	588	517
532	589	516
533	590	515
534	591	514
535	592	512
536	593	511
537	594	510
538	595	509
539	596	508
540	597	506
541	598	505
542	599	504
543	600	503
544	601	502
545	602	501
546	604	500
547	605	499
548	605	497
549	606	496
550	607	495
551	608	494
552	609	492
553	610	491
554	611	490
555	612	489
556	613	488
557	614	486
558	615	485
559	616	484
560	617	483
561	618	482
562	619	480
563	620	479
564	621	478
565	622	477
566	623	476
567	624	474
568	625	473
569	626	472
570	627	471
571	628	470
572	629	468
573	630	467
574	631	466
575	632	465
576	633	464
577	633	462
578	634	461
579	635	460
580	636	459
581	637	458
582	638	456
583	639	455
584	640	454
585	641	453
586	642	452
587	643	450
588	644	449
589	645	448
590	646	447
591	647	446
592	648	444
593	649	443
594	650	442
595	651	441
596	652	440
597	653	439
598	654	437
599	655	436
600	656	435
601	656	434
602	657	433
603	658	431
604	659	430
605	660	429
606	661	428
607	662	427
608	663	426
609	664	424
610	665	423
611	666	422
612	667	421
613	668	420
614	669	419
615	670	417
616	671	416
617	672	415
618	673	414
619	674	413
620	675	411
621	676	410
622	676	409
623	677	408
624	678	407
625	679	406
626	680	405
627	681	403
628	682	402
629	683	401
630	684	400
631	685	399
632	686	398
633	687	396
634	688	395
635	689	394
636	690	393
637	691	392
638	692	391
639	693	390
640	694	388
641	695	387
642	696	386
643	697	385
644	698	384
645	699	383
646	700	381
647	700	380
648	701	379
649	703	378
650	703	377
651	704	376
652	705	375
653	706	373
654	707	372
655	708	371
656	710	370
657	711	369
658	712	368
659	713	367
660	713	366
661	714	365
662	715	363
663	716	362
664	717	361
665	718	360
666	719	359
667	720	358
668	721	356
669	722	355
670	723	354
671	724	353
672	725	352
673	726	351
674	727	350
675	728	349
676	729	347
677	730	346
678	731	345
679	732	344
680	733	343
681	734	342
682	734	341
683	735	340
684	737	338
685	738	337
686	738	336
687	739	335
688	740	334
689	741	333
690	742	332
691	743	331
692	744	329
693	745	328
694	746	327
695	747	326
696	748	325
697	749	324
698	750	323
699	751	322
700	752	320
701	753	319
702	754	318
703	755	317
704	756	316
705	757	315
706	758	314
707	759	313
708	760	311
709	760	310
710	761	309
711	762	308
712	763	307
713	765	306
714	766	305
715	767	304
716	768	303
717	770	302
718	770	301
719	771	300
720	772	299
721	773	297
722	774	296
723	775	295
724	776	294
725	777	293
726	778	292
727	779	291
728	780	290
729	781	289
730	782	287
731	783	286
732	784	285
733	785	284
734	786	283
735	787	282
736	788	281
737	788	280
738	789	278
739	790	277
740	791	276
741	792	275
742	793	274
743	794	273
744	795	272
745	796	271
746	797	270
747	798	269
748	799	267
749	800	266
750	801	265
751	802	264
752	803	263
753	804	262
754	805	261
755	806	260
756	807	259
757	808	257
758	808	256
759	809	255
760	810	254
761	811	253
762	812	252
763	813	251
764	814	250
765	815	249
766	816	248
767	817	246
768	818	245
769	819	244
770	820	243
771	821	242
772	822	241
773	823	240
774	824	239
775	825	238
776	825	237
777	826	235
778	827	234
779	828	233
780	829	232
781	830	231
782	831	230
783	832	229
784	833	228
785	834	227
786	835	226
787	836	225
788	837	223
789	838	222
790	839	221
791	840	220
792	841	219
793	842	218
794	843	217
795	844	216
796	845	215
797	846	214
798	847	213
799	847	211
800	848	210
801	850	209
802	851	208
803	853	208
804	855	207
805	856	206
806	857	205
807	858	204
808	859	202
809	860	201
810	861	200
811	863	199
812	864	198
813	865	197
814	866	196
815	867	195
816	867	194
817	868	193
818	869	192
819	870	191
820	871	189
821	872	188
822	873	187
823	874	186
824	875	185
825	876	184
826	877	183
827	878	182
828	879	181
829	880	180
830	881	179
831	882	178
832	883	177
833	884	175
834	885	174
835	886	173
836	886	172
837	887	171
838	888	170
839	890	169
840	890	168
841	891	167
842	892	166
843	893	165
844	894	164
845	895	163
846	896	161
847	897	160
848	898	159
849	899	158
850	900	157
851	901	156
852	902	155
853	903	154
854	904	153
855	905	152
856	906	151
857	907	150
858	908	149
859	909	147
860	909	146
861	910	145
862	911	144
863	912	143
864	913	142
865	914	141
866	915	140
867	916	139
868	917	138
869	918	137
870	919	136
871	920	135
872	921	134
873	922	132
874	923	131
875	924	130
876	925	129
877	926	128
878	927	127
879	928	126
880	929	125
881	930	124
882	931	123
883	932	122
884	933	121
885	934	120
886	935	119
887	936	118
888	937	117
889	938	115
890	939	114
891	940	113
892	941	112
893	941	111
894	942	110
895	943	109
896	944	108
897	946	107
898	947	106
899	948	105
900	949	104
901	950	103
902	951	102
903	952	101
904	953	100
905	954	99
906	955	97
907	956	96
908	957	95
909	958	94
910	959	93
911	960	92
912	961	91
913	962	90
914	963	89
915	964	88
916	965	87
917	966	86
918	967	85
919	968	84
920	969	83
921	970	82
922	971	81
923	972	79
924	973	78
925	974	77
926	975	76
927	976	75
928	977	74
929	978	73
930	979	72
931	980	71
932	981	70
933	982	69
934	983	68
935	984	67
936	985	66
937	986	65
938	987	64
939	988	63
940	989	62
941	990	60
942	991	59
943	992	58
944	993	57
945	994	56
946	995	55
947	996	54
948	997	53
949	998	52
950	999	51
951	1000	50
952	1001	49
953	1002	48
954	1003	47
955	1004	46
956	1004	45
957	1005	44
958	1006	43
959	1008	42
960	1009	40
961	1010	39
962	1011	38
963	1012	37
964	1012	36
965	1013	35
966	1014	34
967	1015	33
968	1016	32
969	1017	31
970	1018	30
971	1019	29
972	1020	28
973	1021	27
974	1022	26
975	1024	25
976	1025	24
977	1026	23
978	1027	22
979	1028	20
980	1029	19
981	1030	18
982	1031	17
983	1032	16
984	1033	15
985	1033	14
986	1035	13
987	1036	12
988	1037	11
989	1038	10
990	1039	9
991	1040	8
992	1041	7
993	1042	6
994	1043	5
995	1044	4
996	1045	3
997	1046	2
998	1046	1
999	1047	0
